GEOID,population,station_complex_id,station_complex_name,orig_node,network_dist_m,network_dist_mi
360050277001,1172,296.0,Marble Hill-225 St (1),13037033432,809.8625460254837,0.5032265065340349
360610299002,0,296.0,Marble Hill-225 St (1),11591951183,816.2966446703542,0.5072244800168729
360610307003,1909,296.0,Marble Hill-225 St (1),9561209045,823.9840997090552,0.5120012549921429
360050277002,791,296.0,Marble Hill-225 St (1),5487864524,851.636131594516,0.5291834737187394
360050289003,1210,296.0,Marble Hill-225 St (1),1581436712,877.899840919545,0.5455030266566077
360050267023,1377,296.0,Marble Hill-225 St (1),13038491530,882.1573036949678,0.5481484979525568
360050287003,1120,296.0,Marble Hill-225 St (1),12748328783,908.5374542062979,0.5645404042690159
360610303003,1702,296.0,Marble Hill-225 St (1),11587349760,912.3748737077308,0.5669248721262945
360610303001,1526,296.0,Marble Hill-225 St (1),11587266235,936.4436211367351,0.581880535583988
360050273002,2171,296.0,Marble Hill-225 St (1),3965002602,939.3853504360823,0.5837084459692062
360050269002,1827,296.0,Marble Hill-225 St (1),42719558,959.7289872076478,0.5963494272233636
360050273003,2409,296.0,Marble Hill-225 St (1),13038509920,1027.7024964788386,0.6385863126988943
360050287002,371,296.0,Marble Hill-225 St (1),12748328769,1103.0323403763487,0.685394223952893
360050267025,1030,296.0,Marble Hill-225 St (1),13038509923,1116.0214561046057,0.6934653063396211
360050267024,611,296.0,Marble Hill-225 St (1),13038509923,1116.0214561046057,0.6934653063396211
360050277003,460,296.0,Marble Hill-225 St (1),42740910,1116.328399433062,0.6936560325556204
360050295004,541,296.0,Marble Hill-225 St (1),10132643250,1122.5069373410204,0.697495207563983
360050277004,2080,296.0,Marble Hill-225 St (1),8253912197,1144.4897038698832,0.7111546993611563
360610303002,1070,296.0,Marble Hill-225 St (1),6864952439,1157.0006846611964,0.7189286817336277
360050269001,1097,296.0,Marble Hill-225 St (1),13252243857,1210.4770919178156,0.7521574632568728
360050287001,1755,296.0,Marble Hill-225 St (1),42739596,1240.4278706200134,0.7707680605838502
360610293001,1732,296.0,Marble Hill-225 St (1),42427873,1258.773199440404,0.7821673477577168
360050267011,1553,296.0,Marble Hill-225 St (1),13247599307,1314.0465024621544,0.8165126713200159
