station_complex_id,year,annual_weekday_avg_ridership,station_complex,borough,latitude,longitude,geometry,log_ridership
69.0,2024,3036.4716981132074,25 Av (D),Brooklyn,40.597706,-73.98683,POINT (-73.98683 40.597706),8.018780770111801
70.0,2023,1916.929487179487,Bay 50 St (D),Brooklyn,40.58884,-73.983765,POINT (-73.983765 40.58884),7.559001491044686
70.0,2024,1896.7358490566037,Bay 50 St (D),Brooklyn,40.58884,-73.983765,POINT (-73.983765 40.58884),7.548416796173834
71.0,2023,7998.0641025641025,8 Av (N),Brooklyn,40.635063,-74.01172,POINT (-74.01172 40.635063),8.987079826638952
71.0,2024,8059.308176100629,8 Av (N),Brooklyn,40.635063,-74.01172,POINT (-74.01172 40.635063),8.994707070017942
72.0,2023,4971.326923076923,Fort Hamilton Pkwy (N),Brooklyn,40.631386,-74.00535,POINT (-74.00535 40.631386),8.511643203300219
72.0,2024,4919.62893081761,Fort Hamilton Pkwy (N),Brooklyn,40.631386,-74.00535,POINT (-74.00535 40.631386),8.501191632783602
74.0,2023,3725.3846153846152,18 Av (N),Brooklyn,40.62067,-73.99042,POINT (-73.99042 40.62067),8.223193770575133
74.0,2024,3596.8490566037735,18 Av (N),Brooklyn,40.62067,-73.99042,POINT (-73.99042 40.62067),8.188091461602612
75.0,2023,3056.673076923077,20 Av (N),Brooklyn,40.61741,-73.98502,POINT (-73.98502 40.61741),8.025409473292987
75.0,2024,3258.9119496855346,20 Av (N),Brooklyn,40.61741,-73.98502,POINT (-73.98502 40.61741),8.08945546469708
76.0,2023,5086.128205128205,Bay Pkwy (N),Brooklyn,40.611816,-73.98185,POINT (-73.98185 40.611816),8.534468747007292
76.0,2024,5005.044025157233,Bay Pkwy (N),Brooklyn,40.611816,-73.98185,POINT (-73.98185 40.611816),8.518401266431121
77.0,2023,3973.519230769231,Kings Hwy (N),Brooklyn,40.603924,-73.980354,POINT (-73.980354 40.603924),8.28765907153945
77.0,2024,4182.106918238994,Kings Hwy (N),Brooklyn,40.603924,-73.980354,POINT (-73.980354 40.603924),8.33880953129699
78.0,2023,2787.8012820512818,Avenue U (N),Brooklyn,40.597473,-73.97913,POINT (-73.97913 40.597473),7.933367134479965
78.0,2024,2787.5157232704405,Avenue U (N),Brooklyn,40.597473,-73.97913,POINT (-73.97913 40.597473),7.933264734426027
79.0,2023,1781.4038461538462,86 St (N),Brooklyn,40.59272,-73.97823,POINT (-73.97823 40.59272),7.485718207581762
79.0,2024,1807.2075471698113,86 St (N),Brooklyn,40.59272,-73.97823,POINT (-73.97823 40.59272),7.500091328152432
80.0,2023,1712.9743589743591,"121 St (J,Z)",Queens,40.700493,-73.82829,POINT (-73.82829 40.700493),7.4465701392875765
80.0,2024,1612.861635220126,"121 St (J,Z)",Queens,40.700493,-73.82829,POINT (-73.82829 40.700493),7.386385117286479
81.0,2023,1637.3846153846155,111 St (J),Queens,40.69742,-73.83634,POINT (-73.83634 40.69742),7.401466044777064
81.0,2024,1664.1572327044025,111 St (J),Queens,40.69742,-73.83634,POINT (-73.83634 40.69742),7.417674832012628
82.0,2023,2128.519230769231,"104 St (J,Z)",Queens,40.69518,-73.84433,POINT (-73.84433 40.69518),7.663651519972518
82.0,2024,2102.3333333333335,"104 St (J,Z)",Queens,40.69518,-73.84433,POINT (-73.84433 40.69518),7.6512786668671495
83.0,2023,1989.397435897436,"Woodhaven Blvd (J,Z)",Queens,40.69388,-73.85158,POINT (-73.85158 40.69388),7.596089614309221
83.0,2024,1949.9182389937107,"Woodhaven Blvd (J,Z)",Queens,40.69388,-73.85158,POINT (-73.85158 40.69388),7.576055432514692
84.0,2023,2970.9487179487182,85 St-Forest Pkwy (J),Queens,40.692436,-73.86001,POINT (-73.86001 40.692436),7.996973150624418
84.0,2024,2439.327044025157,85 St-Forest Pkwy (J),Queens,40.692436,-73.86001,POINT (-73.86001 40.692436),7.7998873437419745
85.0,2023,1414.8589743589744,"75 St-Elderts Ln (J,Z)",Queens,40.691322,-73.86714,POINT (-73.86714 40.691322),7.25549167491456
85.0,2024,1589.1006289308175,"75 St-Elderts Ln (J,Z)",Queens,40.691322,-73.86714,POINT (-73.86714 40.691322),7.371552581847371
86.0,2023,1049.826923076923,Cypress Hills (J),Brooklyn,40.68994,-73.87255,POINT (-73.87255 40.68994),6.957332678987655
86.0,2024,987.9119496855346,Cypress Hills (J),Brooklyn,40.68994,-73.87255,POINT (-73.87255 40.68994),6.8966052980188275
87.0,2023,2388.737179487179,"Crescent St (J,Z)",Brooklyn,40.683193,-73.87379,POINT (-73.87379 40.683193),7.778938672137005
