station_complex,station_complex_id,borough,latitude,longitude,geometry,avg_annual_ridership,log_avg_ridership
"67 Av (M,R)",262.0,Queens,40.726524,-73.85272,POINT (-73.85272 40.726524),5792.080188679245,8.664419413341445
68 St-Hunter College (6),399.0,Manhattan,40.768143,-73.96387,POINT (-73.96387 40.768143),18873.963231736816,9.845591626127876
69 St (7),455.0,Queens,40.746326,-73.8964,POINT (-73.8964 40.746326),4392.923863086598,8.387977925322106
"7 Av (B,Q)",41.0,Brooklyn,40.67705,-73.97237,POINT (-73.97237 40.67705),7446.33466376391,8.915611484107899
"7 Av (E,B,D)",277.0,Manhattan,40.762863,-73.981636,POINT (-73.981636 40.762863),13685.499939525884,9.524165220110637
"7 Av (F,G)",240.0,Brooklyn,40.66627,-73.98031,POINT (-73.98031 40.66627),8977.216315916787,9.102556513049928
71 St (D),64.0,Brooklyn,40.61959,-73.99886,POINT (-73.99886 40.61959),3459.8544388001937,8.149270785195336
"72 St (1,2,3)",313.0,Manhattan,40.778454,-73.98197,POINT (-73.98197 40.778454),28415.362239961298,10.254720393457031
"72 St (C,B)",160.0,Manhattan,40.775593,-73.97641,POINT (-73.97641 40.775593),7349.744799225931,8.902556920301036
72 St (Q),477.0,Manhattan,40.7688,-73.95843,POINT (-73.95843 40.7688),22792.058357522983,10.034211310582407
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",616.0,Queens,40.74685,-73.891335,POINT (-73.891335 40.74685),44612.17767295598,10.705784557886599
"75 Av (E,F)",260.0,Queens,40.71833,-73.837326,POINT (-73.837326 40.71833),2400.909712143203,7.784019413316974
"75 St-Elderts Ln (J,Z)",85.0,Queens,40.691322,-73.86714,POINT (-73.86714 40.691322),1501.9798016448958,7.31520495096999
77 St (6),398.0,Manhattan,40.77362,-73.95988,POINT (-73.95988 40.77362),21158.286405418483,9.959834161652088
77 St (R),37.0,Brooklyn,40.62974,-74.02551,POINT (-74.02551 40.62974),4022.6075834542817,8.29993418800199
79 St (1),312.0,Manhattan,40.783936,-73.97992,POINT (-73.97992 40.783936),10515.429789550071,9.260694055074529
79 St (D),65.0,Brooklyn,40.613503,-74.00061,POINT (-74.00061 40.613503),4432.119436381228,8.396858776944985
8 Av (N),71.0,Brooklyn,40.635063,-74.01172,POINT (-74.01172 40.635063),8028.686139332365,8.990900720166016
"8 St-NYU (R,W)",16.0,Manhattan,40.730328,-73.99263,POINT (-73.99263 40.730328),11818.376390904694,9.377495530761585
80 St (A),190.0,Queens,40.67937,-73.85899,POINT (-73.85899 40.67937),3027.7876149008225,8.01591769133577
"81 St-Museum of Natural History (C,B)",159.0,Manhattan,40.781433,-73.972145,POINT (-73.972145 40.781433),10126.187772133526,9.222978944893729
82 St-Jackson Hts (7),453.0,Queens,40.747658,-73.8837,POINT (-73.8837 40.747658),7726.683478471214,8.952564417298802
85 St-Forest Pkwy (J),84.0,Queens,40.692436,-73.86001,POINT (-73.86001 40.692436),2705.1378809869375,7.903277761234161
86 St (1),311.0,Manhattan,40.788643,-73.97622,POINT (-73.97622 40.788643),12503.785861151428,9.433866718906915
"86 St (4,5,6)",397.0,Manhattan,40.77949,-73.95559,POINT (-73.95559 40.77949),33786.99383164005,10.4278608062867
"86 St (C,B)",158.0,Manhattan,40.78587,-73.96892,POINT (-73.96892 40.78587),8421.418722786648,9.038652325223657
86 St (N),79.0,Brooklyn,40.59272,-73.97823,POINT (-73.97823 40.59272),1794.3056966618287,7.492930590969186
86 St (Q),476.0,Manhattan,40.77789,-73.95179,POINT (-73.95179 40.77789),17675.33375665215,9.779981947982991
86 St (R),38.0,Brooklyn,40.62269,-74.0284,POINT (-74.0284 40.62269),8620.412131107885,9.062004170554797
88 St (A),191.0,Queens,40.679844,-73.85147,POINT (-73.85147 40.679844),1987.1718069666183,7.594970805497754
9 Av (D),59.0,Brooklyn,40.646294,-73.99432,POINT (-73.99432 40.646294),3987.3794146105465,8.29114026562614
90 St-Elmhurst Av (7),452.0,Queens,40.74841,-73.87661,POINT (-73.87661 40.74841),14200.025701499757,9.561069473480693
"96 St (1,2,3)",310.0,Manhattan,40.79392,-73.97232,POINT (-73.97232 40.79392),25178.07764876633,10.133768676616326
96 St (6),396.0,Manhattan,40.78567,-73.95107,POINT (-73.95107 40.78567),13185.80648282535,9.486972099855505
"96 St (C,B)",157.0,Manhattan,40.79164,-73.9647,POINT (-73.9647 40.79164),7289.854741170779,8.894376066575566
96 St (Q),475.0,Manhattan,40.784317,-73.94715,POINT (-73.94715 40.784317),12813.538763909048,9.45833564625884
Alabama Av (J),91.0,Brooklyn,40.67699,-73.89865,POINT (-73.89865 40.67699),1300.86671504596,7.171554448132066
"Allerton Av (2,5)",423.0,Bronx,40.865463,-73.867355,POINT (-73.867355 40.865463),2771.940977261732,7.927663760593629
Aqueduct Racetrack (A),196.0,Queens,40.672096,-73.83592,POINT (-73.83592 40.672096),520.4632317368166,6.256638767136102
Aqueduct-N Conduit Av (A),197.0,Queens,40.668236,-73.83406,POINT (-73.83406 40.668236),599.2941461054669,6.397419778595169
Astor Pl (6),407.0,Manhattan,40.730053,-73.99107,POINT (-73.99107 40.730053),11858.10988147073,9.38085161758261
"Astoria Blvd (N,W)",2.0,Queens,40.77026,-73.91785,POINT (-73.91785 40.77026),7942.654450895017,8.98012870665394
"Astoria-Ditmars Blvd (N,W)",1.0,Queens,40.775036,-73.91203,POINT (-73.91203 40.775036),11006.62191582003,9.306343213273323
Atlantic Av (L),133.0,Brooklyn,40.675346,-73.9031,POINT (-73.9031 40.675346),1310.704281567489,7.179082548952
"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",617.0,Brooklyn,40.68446,-73.97689,POINT (-73.97689 40.68446),31195.546686018384,10.348062684531307
