station_complex,station_complex_id,borough,latitude,longitude,geometry,year,annual_weekday_avg_ridership,log_ridership
181 St (1),301.0,Manhattan,40.849506,-73.93359,POINT (-73.93359 40.849506),2024,7139.830188679245,8.873584321498722
181 St (A),146.0,Manhattan,40.851696,-73.937965,POINT (-73.937965 40.851696),2023,5867.532051282052,8.677359805105233
181 St (A),146.0,Manhattan,40.851696,-73.937965,POINT (-73.937965 40.851696),2024,6490.735849056604,8.778285239121617
"182-183 Sts (B,D)",214.0,Bronx,40.856094,-73.90074,POINT (-73.90074 40.856094),2023,2921.9166666666665,7.980337255182661
"182-183 Sts (B,D)",214.0,Bronx,40.856094,-73.90074,POINT (-73.90074 40.856094),2024,2820.6540880503144,7.945078548021611
183 St (4),383.0,Bronx,40.858406,-73.90388,POINT (-73.90388 40.858406),2023,3619.6794871794873,8.194416990846435
183 St (4),383.0,Bronx,40.858406,-73.90388,POINT (-73.90388 40.858406),2024,3331.308176100629,8.111420488835932
190 St (A),145.0,Manhattan,40.85902,-73.93418,POINT (-73.93418 40.85902),2023,3183.0705128205127,8.065915692705397
190 St (A),145.0,Manhattan,40.85902,-73.93418,POINT (-73.93418 40.85902),2024,3147.176100628931,8.054578548452014
191 St (1),300.0,Manhattan,40.855225,-73.92941,POINT (-73.92941 40.855225),2023,5443.929487179486,8.602440085270258
191 St (1),300.0,Manhattan,40.855225,-73.92941,POINT (-73.92941 40.855225),2024,5103.987421383647,8.537973266616033
2 Av (F),232.0,Manhattan,40.7234,-73.98994,POINT (-73.98994 40.7234),2023,11923.378205128205,9.386340172269481
2 Av (F),232.0,Manhattan,40.7234,-73.98994,POINT (-73.98994 40.7234),2024,11998.276729559748,9.392601654416987
20 Av (D),67.0,Brooklyn,40.604557,-73.99817,POINT (-73.99817 40.604557),2023,3588.2884615384614,8.18570926170952
20 Av (D),67.0,Brooklyn,40.604557,-73.99817,POINT (-73.99817 40.604557),2024,3606.805031446541,8.190854841875007
20 Av (N),75.0,Brooklyn,40.61741,-73.98502,POINT (-73.98502 40.61741),2023,3056.673076923077,8.025409473292987
20 Av (N),75.0,Brooklyn,40.61741,-73.98502,POINT (-73.98502 40.61741),2024,3258.9119496855346,8.08945546469708
207 St (1),298.0,Manhattan,40.86462,-73.91882,POINT (-73.91882 40.86462),2023,4385.532051282051,8.386294228342623
207 St (1),298.0,Manhattan,40.86462,-73.91882,POINT (-73.91882 40.86462),2024,4020.446540880503,8.299396952927532
21 St (G),282.0,Queens,40.744064,-73.94972,POINT (-73.94972 40.744064),2023,1395.576923076923,7.241779466630081
21 St (G),282.0,Queens,40.744064,-73.94972,POINT (-73.94972 40.744064),2024,1242.5947712418301,7.125761473642011
21 St-Queensbridge (F),221.0,Queens,40.754204,-73.94283,POINT (-73.94283 40.754204),2023,5108.8525641025635,8.538925830355398
21 St-Queensbridge (F),221.0,Queens,40.754204,-73.94283,POINT (-73.94283 40.754204),2024,5565.974842767296,8.624607069180536
215 St (1),297.0,Manhattan,40.869446,-73.915276,POINT (-73.915276 40.869446),2023,1580.0897435897436,7.365869599412347
215 St (1),297.0,Manhattan,40.869446,-73.915276,POINT (-73.915276 40.869446),2024,1670.867924528302,7.421696798017578
"219 St (2,5)",420.0,Bronx,40.883896,-73.86263,POINT (-73.86263 40.883896),2023,1618.9551282051284,7.390153729204005
