station_complex_id,year,annual_weekday_avg_ridership,station_complex,borough,latitude,longitude,geometry,log_ridership,station_complex_name,buffer_area_sqmi,pop_density_0p5mi,pop_rank,population_0p5mi,landuse_entropy_0p5mi,landuse_entropy_relative_0p5mi,landuse_simpson_0p5mi,landuse_k_categories_0p5mi,jobs_0p5mi,intersection_count_0p5mi,intersection_density_0p5mi,citibike_count_0p5mi,pct_hh_no_vehicle_0p5mi,median_hh_income_0p5mi,pct_workers_wfh_0p5mi,pct_car_truck_van_0p5mi,pct_transit_0p5mi,pct_taxicab_0p5mi,pct_bicycle_0p5mi,pct_walked_0p5mi,pct_other_means_0p5mi,pct_wfh_0p5mi,median_hh_income_0p5mi_approx,bus_routes_0p5mi,subway_lines_0p5mi,commuter_lines_0p5mi,dist_to_commuter_stop_ft,dist_to_commuter_stop_mi,transfer_subway_station_complexes_0p25mi,transfer_subway_station_complexes_0p10mi,dist_to_subway_station_complex_ft,dist_to_subway_station_complex_mi,subway_lines_serving_station,is_terminal_subway,has_university_0p25mi,has_university_0p5mi,has_hospital_0p25mi,has_hospital_0p5mi,has_stadium_0p1mi,cultural_count_0p25mi,cultural_count_0p5mi,has_cultural_0p25mi,cultural_count_0p25mi_capped10,has_cultural_0p5mi,cultural_count_0p5mi_capped10,adjacent_major_park_0p25mi,adjacent_major_park_0p5mi
26.0,2023,14434.794871794871,"DeKalb Av (B,Q,R)",Brooklyn,40.690636,-73.98183,POINT (-73.98183 40.690636),9.577466156171203,"DeKalb Av (B,Q,R)",0.784137123,54871,197,43026,1.975846846,0.823992135,0.837352112,11,129046,580,739.6665497,25,6.096977009,121597.1531,11.25859674,5.455484588,66.75592068,1.285637673,2.810434212,10.94867804,0.828078079,11.25859674,118020,15,15,0,3080.360415,0.583401594,0,0,0.0,0.0,0,0,1,1,1,1,0,11,40,1,10,1,10,0,0
26.0,2024,16269.345911949686,"DeKalb Av (B,Q,R)",Brooklyn,40.690636,-73.98183,POINT (-73.98183 40.690636),9.697099460709246,"DeKalb Av (B,Q,R)",0.784137123,54871,197,43026,1.975846846,0.823992135,0.837352112,11,129046,580,739.6665497,25,6.096977009,121597.1531,11.25859674,5.455484588,66.75592068,1.285637673,2.810434212,10.94867804,0.828078079,11.25859674,118020,15,15,0,3080.360415,0.583401594,0,0,0.0,0.0,0,0,1,1,1,1,0,11,40,1,10,1,10,0,0
28.0,2023,5322.153846153846,Union St (R),Brooklyn,40.677315,-73.98311,POINT (-73.98311 40.677315),8.579821234906863,Union St (R),0.784137123,48187,249,37785,2.084870218,0.869458413,0.846989306,11,12360,265,337.951096,24,6.616730147,145211.401,16.03012895,5.71248197,64.54894941,0.445364473,2.413067425,8.743265273,1.088346986,16.03012895,143947,7,7,0,3080.887144,0.583501353,0,0,0.0,0.0,0,0,0,0,0,1,0,11,30,1,10,1,10,0,0
28.0,2024,5743.66037735849,Union St (R),Brooklyn,40.677315,-73.98311,POINT (-73.98311 40.677315),8.656026072322803,Union St (R),0.784137123,48187,249,37785,2.084870218,0.869458413,0.846989306,11,12360,265,337.951096,24,6.616730147,145211.401,16.03012895,5.71248197,64.54894941,0.445364473,2.413067425,8.743265273,1.088346986,16.03012895,143947,7,7,0,3080.887144,0.583501353,0,0,0.0,0.0,0,0,0,0,0,1,0,11,30,1,10,1,10,0,0
30.0,2023,4385.224358974358,Prospect Av (R),Brooklyn,40.665413,-73.992874,POINT (-73.992874 40.665413),8.386224081106468,Prospect Av (R),0.784137123,34961,349,27414,2.104085516,0.877471814,0.84936963,11,10120,444,566.2274967,19,13.96710109,115880.6767,11.41521393,10.79219006,62.38758636,0.358510092,2.219068331,8.975148538,0.611333836,11.41521393,120431,17,6,0,8163.664269,1.546148536,0,0,0.0,0.0,0,0,0,0,0,0,0,6,20,1,6,1,10,0,0
30.0,2024,4426.955974842767,Prospect Av (R),Brooklyn,40.665413,-73.992874,POINT (-73.992874 40.665413),8.395693351331667,Prospect Av (R),0.784137123,34961,349,27414,2.104085516,0.877471814,0.84936963,11,10120,444,566.2274967,19,13.96710109,115880.6767,11.41521393,10.79219006,62.38758636,0.358510092,2.219068331,8.975148538,0.611333836,11.41521393,120431,17,6,0,8163.664269,1.546148536,0,0,0.0,0.0,0,0,0,0,0,0,0,6,20,1,6,1,10,0,0
31.0,2023,2657.833333333333,25 St (R),Brooklyn,40.660397,-73.99809,POINT (-73.99809 40.660397),7.885642709072942,25 St (R),0.784137123,21880,408,17157,1.86232061,0.776648018,0.781397992,11,9283,359,457.8280885,15,18.72021366,93097.53799,8.072344033,14.40553171,60.0583847,0.446253393,1.475191014,9.911125746,0.928291862,8.072344033,103857,13,4,0,10493.59961,1.987424169,0,0,0.0,0.0,0,0,0,0,0,0,0,6,13,1,6,1,10,0,0
31.0,2024,2677.0503144654085,25 St (R),Brooklyn,40.660397,-73.99809,POINT (-73.99809 40.660397),7.892844314149833,25 St (R),0.784137123,21880,408,17157,1.86232061,0.776648018,0.781397992,11,9283,359,457.8280885,15,18.72021366,93097.53799,8.072344033,14.40553171,60.0583847,0.446253393,1.475191014,9.911125746,0.928291862,8.072344033,103857,13,4,0,10493.59961,1.987424169,0,0,0.0,0.0,0,0,0,0,0,0,0,6,13,1,6,1,10,0,0
32.0,2023,11065.076923076924,"36 St (D,N,R)",Brooklyn,40.655144,-74.00355,POINT (-74.00355 40.655144),9.311639574733093,"36 St (D,N,R)",0.784137123,20896,413,16385,1.879677189,0.783886273,0.798236608,11,15302,325,414.4683253,17,16.66017863,53002.17393,6.336262655,12.64390243,59.98618464,0.418312957,2.823961545,11.85804315,0.963387417,6.336262655,71680,9,4,0,12932.85783,2.449404893,0,0,0.0,0.0,0,0,0,0,0,0,0,0,10,0,0,1,10,0,0
32.0,2024,11324.610062893082,"36 St (D,N,R)",Brooklyn,40.655144,-74.00355,POINT (-74.00355 40.655144),9.3348218175885,"36 St (D,N,R)",0.784137123,20896,413,16385,1.879677189,0.783886273,0.798236608,11,15302,325,414.4683253,17,16.66017863,53002.17393,6.336262655,12.64390243,59.98618464,0.418312957,2.823961545,11.85804315,0.963387417,6.336262655,71680,9,4,0,12932.85783,2.449404893,0,0,0.0,0.0,0,0,0,0,0,0,0,0,10,0,0,1,10,0,0
33.0,2023,5867.987179487179,45 St (R),Brooklyn,40.648937,-74.01001,POINT (-74.01001 40.648937),8.677437356110076,45 St (R),0.784137123,49405,235,38740,1.808706404,0.754289157,0.796376311,11,13508,315,401.7154537,24,16.78058349,59043.63174,5.214076837,9.952532098,59.33117798,0.345226315,2.208986038,15.05884071,0.84423789,5.214076837,63731,6,3,0,15816.40152,2.99553059,0,0,0.0,0.0,0,0,0,0,0,0,0,5,9,1,5,1,9,0,0
33.0,2024,5531.974842767296,45 St (R),Brooklyn,40.648937,-74.01001,POINT (-74.01001 40.648937),8.618480896126034,45 St (R),0.784137123,49405,235,38740,1.808706404,0.754289157,0.796376311,11,13508,315,401.7154537,24,16.78058349,59043.63174,5.214076837,9.952532098,59.33117798,0.345226315,2.208986038,15.05884071,0.84423789,5.214076837,63731,6,3,0,15816.40152,2.99553059,0,0,0.0,0.0,0,0,0,0,0,0,0,5,9,1,5,1,9,0,0
34.0,2023,6385.858974358975,53 St (R),Brooklyn,40.64507,-74.01403,POINT (-74.01403 40.64507),8.761997873211193,53 St (R),0.784137123,66172,109,51888,1.808128725,0.754048246,0.794767136,11,18383,345,439.9740684,24,17.32939079,57439.68151,4.834125543,10.0170532,58.58717476,0.22002105,2.107297098,15.50250461,1.269779185,4.834125543,60334,5,3,0,17615.1967,3.336211497,0,0,0.0,0.0,0,0,0,0,0,1,0,4,10,1,4,1,10,0,0
34.0,2024,6187.893081761006,53 St (R),Brooklyn,40.64507,-74.01403,POINT (-74.01403 40.64507),8.730511526062752,53 St (R),0.784137123,66172,109,51888,1.808128725,0.754048246,0.794767136,11,18383,345,439.9740684,24,17.32939079,57439.68151,4.834125543,10.0170532,58.58717476,0.22002105,2.107297098,15.50250461,1.269779185,4.834125543,60334,5,3,0,17615.1967,3.336211497,0,0,0.0,0.0,0,0,0,0,0,1,0,4,10,1,4,1,10,0,0
35.0,2023,9118.807692307691,"59 St (N,R)",Brooklyn,40.64136,-74.01788,POINT (-74.01788 40.64136),9.118203996476286,"59 St (N,R)",0.784137123,56083,185,43977,2.072315819,0.864222822,0.848467326,11,19311,523,666.9751819,24,16.52573327,55843.92019,3.784008596,10.36834447,60.57546951,0.18330734,2.212461923,15.11419011,1.42270327,3.784008596,57109,28,3,0,19336.4399,3.662204527,0,0,0.0,0.0,0,0,0,0,0,1,0,0,7,0,0,1,7,0,1
